college_name,city,district,state,country,college_type,ownership,established_year,official_website,official_admission_url,ug_fee_inr,pg_fee_inr,Rating,Academic,Faculty,Infrastructure,Accommodation,Placement,Social_Life,nirf_2025_rank,College_Name,State,UG_fee,PG_fee,nirf_2025_ss,nirf_2025_fsr,nirf_2025_fqe,nirf_2025_fru,nirf_2025_pu,nirf_2025_qp,nirf_2025_ipr,nirf_2025_fppp,nirf_2025_gph,nirf_2025_gue,nirf_2025_ms,nirf_2025_gphd,affiliation,autonomous_status,naac_grade,accreditation,official_contact_email,official_phone,address,maps_url,campus_area_acres,hostel_available,hostel_fee_inr,library_available,labs_available,sports_facilities,clubs_societies,average_package_lpa,highest_package_lpa,median_package_lpa,placement_rate_percent,placement_year,recruiter_count,top_recruiters,internship_info,placement_source_url,placement_source_year,review_score_5,review_count,review_source,review_source_url,review_year,courses,popular_branches,degree_types,course_duration,entrance_exams,eligibility,cutoff_info,admission_process,application_url,fees_source_url,fees_source_year,college_description,pros,cons,collegeiq_score,data_last_verified,existing_dataset_source,nirf_source,data_status,online_verification_status,online_verification_note
Indian Institute of Technology Madras,,,Tamil nadu,India,,,,,,75116,23070,8.7,9.0,8.7,8.8,7.9,8.8,9.0,1,Indian Institute of Technology Madras ,Tamil nadu,"75,116","23,070",18.5,30.0,17.2,30.0,34.22,32.52,14.0,10.0,31.07,15.0,19.54,16.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"College of Engineering, Anna University",,,Tamil nadu,India,,,,,,50000,50000,8.4,8.7,8.1,8.7,7.7,8.3,8.7,20,"College of Engineering, Anna University ",Tamil nadu,"50,000","50,000",17.86,24.65,14.13,12.8,22.92,25.67,11.0,321.0,25.5,12.51,12.61,12.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"NIT Trichy, Tiruchirappalli",,,Tamil nadu,India,,,,,,149250,99250,8.5,8.6,8.2,8.7,7.8,8.8,8.7,9,"NIT Trichy, Tiruchirappalli ",Tamil nadu,"1,49,250","99,250",17.5,21.87,14.15,19.73,24.63,24.18,6.5,2.34,35.15,15.0,17.86,10.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Vellore Institute of Technology,,,Tamil nadu,India,,,,,,198000,183000,8.3,8.3,7.8,8.9,8.0,8.5,8.5,16,Vellore Institute of Technology ,Tamil nadu,"1,98,000","1,83,000",20.0,22.26,1431.0,10.2,24.62,33.56,9.0,0.42,29.58,15.0,13.93,13.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"SRM Engineering College, Kanchipuram",,,Tamil nadu,India,,,,,,260000,170000,7.2,6.5,6.9,7.6,6.6,7.1,8.3,,"SRM Engineering College, Kanchipuram ",Tamil nadu,"2,60,000","1,70,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
SSN College of Engineering,,,Tamil nadu,India,,,,,,50000,50000,8.6,8.9,8.7,9.1,7.6,8.3,8.8,,SSN College of Engineering ,Tamil nadu,"50,000","50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
"SASTRA University, Thanjavur",,,Tamil nadu,India,,,,,,167000,157000,8.1,8.5,8.2,8.3,7.0,8.7,8.1,,"SASTRA University, Thanjavur ",Tamil nadu,"1,67,000","1,57,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
P.S.G College of Technology,,,Tamil nadu,India,,,,,,87000,154000,9.0,9.2,8.9,9.0,8.7,9.1,8.8,,P.S.G College of Technology ,Tamil nadu,"87,000","1,54,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Thiagarajar College of Engineering,,,Tamil nadu,India,,,,,,50000,50000,8.6,8.9,8.6,8.6,7.9,8.7,8.6,,Thiagarajar College of Engineering ,Tamil nadu,"50,000","50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
Coimbatore Institute of Technology,,,Tamil nadu,India,,,,,,23670,132710,8.0,8.5,8.2,7.4,6.8,8.4,8.5,,Coimbatore Institute of Technology ,Tamil nadu,"23,670","1,32,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian_Engineering_Colleges_Dataset.csv,NIRF_2025_Scores_with_Rank.csv,Existing dataset + NIRF 2025 where conservatively matched,Not yet verified,Populate only from authoritative/current sources; do not infer missing values.
