College Name,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,Rank
Indian Institute of Technology Madras,18.50,30.00,17.20,30.00,34.22,32.52,14.00,10.00,31.07,15.00,19.54,16.68,1
Indian Institute of Technology Delhi,16.45,25.04,16.68,27.72,35.00,36.46,13.00,9.01,30.94,11.93,20.91,17.89,2
Indian Institute of Technology Bombay,18.50,26.28,16.97,26.22,30.64,30.23,14.00,9.93,32.50,13.88,20.67,20.00,3
Indian Institute of Technology Kanpur,18.18,28.02,19.03,26.55,27.87,27.62,12.00,885,36.16,15.00,21.62,15.30,4
Indian Institute of Technology Kharagpur,18.23,26.62,17.52,22.88,31.17,33.21,7.00,618,25.27,13.42,21.34,19.79,5
Indian Institute of Technology Roorkee,17.75,22.13,14.71,2146,30.12,32.09,8.00,6.36,38.07,15.00,19.98,12.78,6
Indian Institute of Technology Hyderabad,1249,30.00,19.83,25.71,25.32,23.39,5.00,7.68,34.25,15.00,21.27,8.69,7
Indian Institute of Technology Guwahati,17.86,23.91,13.51,18.32,28.62,28.22,9.00,7.05,33.43,14.25,21.50,15.50,8
National Institute of Technology Tiruchirappalli,17.50,21.87,14.15,19.73,24.63,24.18,6.50,2.34,35.15,15.00,17.86,10.69,9
Indian Institute of Technology (Banaras Hindu University) Varanasi,17.62,18.42,12.79,17.56,23.62,26.32,8.00,3.74,36.72,14.74,20.81,13.76,10
Birla Institute of Technology  & Science -Pilani,19.00,2749,17.19,18.40,23.74,26.04,5.00,1.63,38.24,15.00,20.22,7.58,11
Indian Institute of Technology Indore,12.55,30.00,18.52,20.19,24.77,24.36,450,5.93,31.65,14.79,20.85,9.23,12
National Institute of Technology Rourkela,17.50,29.09,19.21,17.74,25.69,25.32,450,3.74,32.95,15.00,16.93,12.01,13
S.R.M. Institute of Science and Technology,17.82,30.00,17.39,13.48,26.13,3131,11.00,0.50,29.53,13.46,10.78,11.65,14
Indian Institute of Technology (Indian School of Mines),15.87,23.22,15.55,18.20,26.02,27.95,5.00,3.52,31.52,13.09,17.84,14.57,15
Vellore Institute of Technology,20.00,22.26,1431,10.20,24.62,33.56,9.00,0.42,29.58,15.00,13.93,13.72,16
"National Institute of Technology Karnataka, Surathkal",17.50,20.20,13.44,24.24,21.87,20.78,5.00,414,34.53,15.00,17.80,10.78,17
Jadavpur University,18.25,29.14,18.19,13.97,25.78,25.45,450,3.68,30.76,13.61,15.19,11.91,18
Indian Institute of Technology Patna,1248,28.35,18.22,20.20,22.28,21.26,425,7.25,33.29,13.98,21.20,9.93,19
Anna University,17.86,24.65,14.13,12.80,22.92,25.67,11.00,321,25.50,12.51,12.61,12.66,20
National Institute of Technology Calicut,16.00,29.16,19.59,18.89,17.25,16.06,5.00,1.69,38.15,15.00,16.30,9.66,21
Siksha `O` Anusandhan,19.00,29.56,19.73,17.06,16.72,18.55,7.00,157,3431,15.00,10.56,10.61,22
Amrita Vishwa Vidyapeetham,18.00,29.38,17.63,15.73,22.13,21.97,450,3.18,36.00,15.00,11.81,491,23
Jamia Millia Islamia,10.50,26.57,13.75,16.67,27.30,25.71,125,4.93,39.74,15.00,15.64,7.90,24
Indian Institute of Technology Gandhinagar,11.50,29.57,19.18,25.57,16.54,15.17,0.75,8.61,34.77,15.00,18.27,6.58,25
Indian Institute of Technology Mandi,12.45,28.57,19.36,2151,18.38,17.99,2.50,3.74,35.94,14.22,21.20,6.94,26
Indian Institute of Technology Jodhpur,12.50,30.00,18.99,25.44,17.94,18.43,125,641,34.34,14.92,18.04,344,27
National Institute of Technology Warangal,16.16,24.84,16.26,17.68,22.50,22.18,2.50,2.05,3113,15.00,18.45,9.06,28
Thapar Institute of Engineering and Technology (Deemed-to-be-university),18.00,25.88,15.92,15.31,20.13,25.72,4.00,1.01,33.34,15.00,15.55,939,29
Delhi Technological University,19.00,30.00,12.01,12.00,21.17,22.16,2.25,1414,37.76,15.00,1749,8.92,30
Chandigarh University,17.88,28.58,16.03,10.77,21.31,24.80,11.00,0.82,22.60,15.00,13.17,8.40,31
Indian Institute of Technology Ropar,11.70,24.53,15.50,20.73,20.79,19.85,1.00,6.10,31.74,15.00,20.05,8.40,32
Kalasalingam Academy of Research and Education,16.49,30.00,18.76,12.78,16.03,17.58,8.00,0.85,36.69,15.00,11.39,9.08,33
Aligarh Muslim University,11.00,30.00,18.26,17.60,26.31,24.88,2.00,246,34.23,13.16,11.06,5.72,34
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),18.65,30.00,18.24,10.66,20.38,2154,6.00,0.74,30.80,15.00,13.06,11.07,35
Kalinga Institute of Industrial Technology,20.00,26.24,16.79,15.61,16.92,19.09,9.00,2.75,2149,15.00,11.77,12.05,36
Amity University,13.60,24.67,15.49,12.92,28.14,25.37,11.00,0.87,29.52,15.00,10.78,6.73,37
International Institute of Information Technology Hyderabad,9.08,28.80,18.76,19.20,19.02,16.19,1.50,6.52,30.54,12.38,25.00,2.81,38
Indian Institute of Technology Bhubaneswar,11.05,26.69,18.34,18.49,16.02,16.65,2.25,4.21,34.65,15.00,18.42,6.99,39
Shanmugha Arts Science Technology & Research Academy,17.50,30.00,18.91,14.07,1185,17.72,3.00,3.37,35.14,15.00,12.91,10.65,40
Institute of Chemical Technology,11.50,28.08,18.48,18.30,17.85,19.08,7.00,642,29.43,15.00,13.64,688,41
Malaviya National Institute of Technology,15.39,23.74,15.26,14.90,23.16,22.58,2.25,3.85,31.50,14.98,15.45,8.30,42
UPES,15.50,24.22,14.62,16.99,22.23,25.73,7.00,0.54,27.61,15.00,11.25,039,43
"Visvesvaraya National Institute of Technology, Nagpur",13.31,24.99,16.52,16.73,17.27,16.90,6.50,3.66,33.54,15.00,15.55,784,44
Saveetha Institute of Medical and Technical Sciences,16.02,30.00,19.99,9.76,26.76,29.03,5.00,0.79,1487,13.58,9.04,3.09,45
Symbiosis International,10.80,28.57,16.81,13.50,24.95,22.27,4.00,0.62,32.25,15.00,12.62,5.51,46
Sri Sivasubramaniya Nadar College of Engineering,12.50,28.43,15.86,14.50,20.36,19.69,2.50,141,35.64,15.00,13.39,5.98,47
Lovely Professional University,18.00,24.34,13.63,7.08,16.78,22.89,13.00,021,30.09,15.00,12.54,491,48
National Institute of Technology Durgapur,14.07,24.73,16.78,15.67,17.64,16.51,125,2.74,38.31,15.00,15.83,8.78,49
National Institute of Technology Silchar,1442,22.03,15.09,15.06,24.39,22.73,2.25,2.11,30.81,15.00,16.53,7.82,50
Birla Institute of Technology,13.45,30.00,17.05,15.72,18.52,18.59,1.00,2.10,30.39,15.00,15.06,5.58,51
Graphic Era University,12.75,28.39,15.53,11.97,21.55,21.64,11.00,1414,20.07,14.26,10.95,2.22,52
National Institute of Technology Patna,12.30,19.70,13.45,13.50,22.01,22.39,5.00,2.28,36.78,15.00,14.19,7.84,53
"Indian Institute of Engineering Science and Technology, Shibpur",12.27,23.03,14.85,16.17,17.14,16.50,2.25,1.86,34.72,13.48,13.42,9.30,54
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",14.00,29.97,1439,12.90,18.15,19.37,2.00,0.97,28.44,13.28,13.89,627,55
Indian Institute of Technology Jammu,795,30.00,18.14,24.63,12.38,13.16,0.00,636,25.56,14.25,18.17,2.06,56
Manipal University Jaipur,14.84,29.28,17.07,10.49,15.23,17.11,7.00,0.77,30.50,15.00,12.13,1.01,58
Manipal Institute of Technology,15.89,26.60,15.02,10.76,17.03,20.39,4.00,0.28,2719,14.71,13.75,5.13,59
Madan Mohan Malaviya University of Technology,13.50,30.00,19.38,13.64,946,11.37,0.75,3.17,31.34,15.00,14.35,7.90,60
Indian Institute of Space Science and Technology,8.65,29.18,15.78,22.27,11.84,10.12,1.00,2.23,33.85,13.18,15.90,401,61
Motilal Nehru National Institute of Technology,15.79,18.67,12.90,15.78,16.19,16.81,2.50,2.01,35.03,15.00,17.63,6.70,62
Indraprastha Institute of Information Technology,12.00,24.63,13.67,16.16,12.91,12.72,0.00,454,34.83,15.00,19.95,3.96,63
Indian Institute of Technology Palakkad,723,30.00,16.90,20.16,10.28,10.29,0.75,469,28.80,14.84,17.01,152,64
National Institute of Technology Delhi,8.50,18.95,12.99,22.32,13.63,13.11,0.50,241,34.43,15.00,18.65,3.18,65
Sardar Vallabhbhai National Institute of Technology,13.20,20.86,13.09,15.27,18.57,17.71,425,2.45,2744,14.79,14.28,614,66
Sathyabama Institute of Science and Technology,17.99,28.43,14.44,9.58,13.07,15.24,7.00,1.07,22.27,14.56,10.07,4.79,67
PSG College of Technology,15.19,30.00,15.55,943,9.94,11.16,450,0.70,30.64,14.84,12.17,271,67
